Voltage,Frequency
1280,967
1281,975
1282,976
1290,992
1299,1015
1300,1018
1301,1019
1302,1019
1303,1023
1304,1025
1305,1023
1306,1027
1310,1030
1311,1032
1312,1037
1313,1038
1314,1032
1315,1040
1316,1042
1317,1056
1318,1057
1319,1059
1320,1054
1321,1058
1322,1056
1323,1060
1324,1060
1325,1067
1326,1069
1327,1072
1328,1069
#1328,1068
1329,1076
#1329,1069
1330,1076
#1330,1070
1331,1076
#1331,1071
1332,1072
1333,1075
1334,1075
1335,1076
1336,1079
1337,1079
1338,1080
