Voltage,Frequency
1280,967
1281,975
1282,976
1290,992
1299,1015
1300,1018
1301,1019
1302,1019
1303,1023
1304,1025
1305,1023
1306,1027
1310,1033
1311,1035
1312,1037
1313,1038
1314,1032
1315,1040
1316,1042
1317,1056
1318,1057
1319,1059
1320,1054
1321,1058
1322,1056
1323,1055
1324,1057
1325,1067
1326,1069
1327,1072
1328,1069
1329,1071
1330,1078
1331,1078
1332,1068
1333,1080
1334,1075
1335,1072
1336,1088
1337,1095
1338,1098
1339,1098
1340,1098
1341,1099
1342,1102
1343,1106
1344,1108
1345,1110
1350,1112
1351,1114
1352,1116
1353,1118
1354,1120
1355,1122
1356,1124
1360,1127
1361,1129
1362,1126
1363,1130
1364,1130
1365,1134
1366,1138
